label,catno,year,artist,title
Innervisions,INNERVISION01,2005,Tokyo Black Star,Psyche Dance EP
Innervisions,INNERVISIONS02,2005,Âme,Rej EP
Innervisions,INNERVISIONS03,2005,Marcus Worgull,Texel EP
Innervisions,INNERVISIONS04,2005,Tokyo Blackstar,Beyond The Future EP
Innervisions,INNERVISIONS05,2006,Henrik Schwarz / Âme / Dixon Feat. Derrick L. Carter,Where We At EP
Innervisions,INNERVISIONS06,2006,Franck Roger,Back And Forth EP
Innervisions,INNERVISIONS07,2006,Atjazz,For Real EP
Innervisions,IV08,2006,Stefan Goldmann,Sleepy Hollow EP
Innervisions,IV09,2006,Château Flight,Baroque EP
Innervisions,IV10,2007,Various,Secret Weapons EP (Part One)
Innervisions,IV11,2007,Âme,Balandine EP
Innervisions,IV12,2007,Tokyo Black Star,Still Sequence EP
Innervisions,IV13,2007,Marcus Worgull Feat. Mr. White,Spellbound EP
Innervisions,IV14,2008,Various,Secret Weapons EP (Part Two)
Innervisions,IV15,2008,Henrik Schwarz & Amampondo,I Exist Because Of You Versions
Innervisions,IV16,2008,Laurent Garnier,Back To My Roots EP
Innervisions,IV17,2008,Henrik Schwarz / Âme / Dixon,D.P.O.M.B. EP
Innervisions,IV18,2008,Lil' Tony / Boola,Basement Tracks EP
Innervisions,IV19,2008,Tokyo Black Star,Bit Commander EP
Innervisions,IV20,2009,Various,Secret Weapons EP (Part Three)
Innervisions,IV21,2009,Culoe De Song,The Bright Forest
Innervisions,IV22,2009,Âme,Setsa / Ensor
Innervisions,IV23,2009,The Machine,Fuse - Âme & Dixon Remixes
Innervisions,IV24,2009,Dixon,Temporary Secretary (Dixon Edits)
Innervisions,IV25,2009,Tokyo Black Star,Caballero EP
Innervisions,IV26,2010,Henrik Schwarz / Âme / Dixon,A Critical Mass Live EP
Innervisions,IV27,2010,Various,Secret Weapons EP (Part Four)
Innervisions,IV28,2010,Âme,Rrose Sélavy EP
Innervisions,IV29,2010,Emmanuel Jal,Kuar EP
Innervisions,IV30,2010,Culoe De Song,Webaba EP
Innervisions,IV31,2010,Tête,Rotor EP
Innervisions,IV32,2011,Lil' Tony,Anton's Groove EP
Innervisions,IV33,2011,Âme & Amampondo,Ku Kanjani EP
Innervisions,IV34,2011,Marcus Worgull,Long Way / Coppa
Innervisions,IV35,2011,Osunlade,Envision Remixes
Innervisions,IV36,2011,Agoria Feat. Scalde,Singing (Dixon Mixes)
Innervisions,IV37,2012,Âme,Live EP
Innervisions,IV38,2012,Matthew Dekay & Lee Burridge,Lost In A Moment EP
Innervisions,IV39,2012,Ry X & Frank Wiedemann,Howling EP
Innervisions,IV40,2012,Ian Pooley,Compurhythm EP
Innervisions,IV41,2012,Marcus Worgull,Muwekma EP
Innervisions,IV42,2013,Various,Secret Weapons EP (Part Five)
Innervisions,IV43,2013,Ten Walls,Gotham EP
Innervisions,IV44,2013,Ry X & Frank Wiedemann,Shortline EP
Innervisions,IV45,2013,Michael Gracioppo,Creep EP
Innervisions,IV46,2013,Agoria,Scala EP
Innervisions,IV47,2013,Âme,Tatischeff EP
Innervisions,IV48,2013,Marcus Worgull & Peter Pardeike,Lenoix EP
Innervisions,IV49,2014,Michael Gracioppo,Creep Remixes EP
Innervisions,IV50.I,2014,Recondite,Psy EP
Innervisions,IV50.II,2014,Frankey & Sandrino,Save EP
Innervisions,IV50.III,2014,David August,Epikur EP
Innervisions,IV50.IV,2014,Orson Wells,Endless EP
Innervisions,IV51,2014,Daniel Bortz & Sascha Sibler,Young World EP
Innervisions,IV52,2014,Various,Secret Weapons EP (Part 6)
Innervisions,IV53,2014,Ian Pooley,Floris EP
Innervisions,IV54,2014,Culoe De Song,Y.O.U.D. EP
Innervisions,IV55,2014,Recondite,Levo EP
Innervisions,IV56,2015,Rancido,The Journey EP
Innervisions,IV57,2015,Various,Secret Weapons EP Part 7
Innervisions,IV58,2015,Marcus Worgull & Peter Pardeike,Trivia EP
Innervisions,IV59,2015,Frankey & Sandrino,Acamar EP
Innervisions,IV60,2015,André Lodemann,Leaving The Comfort Zone EP
Innervisions,IV61,2015,Nuiton,Simple Process EP
Innervisions,IV62,2015,Dele Sosimi Afrobeat Orchestra,Too Much Information (Remixes)
Innervisions,IV63,2016,Frank Wiedemann,Moorthon EP
Innervisions,IV64,2016,Aera,Running Hot EP
Innervisions,IV65,2016,Recondite,Osa EP
Innervisions,IV66,2016,Marc Houle,Silver Siding EP
Innervisions,IV67,2016,Various,Secret Weapons EP Part 8
Innervisions,IV68,2016,Toto Chiavetta,Silence Has Come EP
Innervisions,IV69,2016,Trikk,Florista EP
Innervisions,IV70,2017,Frankey & Sandrino,Wega EP
Innervisions,IV71,2017,Various,Secret Weapons Part 9
Innervisions,IV72,2017,Rampa,Hall Of Violence EP
Innervisions,IV73,2017,Manoo & Raoul K Feat. Ahmed Sosso,Toukan EP
Innervisions,IV74,2017,Toto Chiavetta,Underground Mental Resurrection
Innervisions,IV75,2017,Trikk,Mundo Ritual
Innervisions,IV76,2017,Yotam Avni,Mabruk EP
Innervisions,IV77,2018,Marcus Worgull,Broad Horizons
Innervisions,IV78,2018,Various,Secret Weapons Part 10
Innervisions,IV79,2018,Trikk,Vilara EP
Innervisions,IV80,2018,Toto Chiavetta,Harmony Somewhere EP
Innervisions,IV81,2018,Marcus Worgull,Love Song
Innervisions,IV82,2018,Musumeci & Phunkadelica / Stereocalypse,Romantico Disco EP
Innervisions,IV83,2018,Alex Smoke,Remix EP
Innervisions,IV84,2019,Various,Secret Weapons Part 11
Innervisions,IV85,2019,Eagles & Butterflies,Imitations Of Life EP
Innervisions,IV86,2019,Jimi Jules,Karma Baby EP
Innervisions,IV87,2019,Rampa,They Will EP
Innervisions,IV88,2019,Toto Chiavetta,Sounds Between Colours EP
Innervisions,IV89,2019,Frankey & Sandrino,Mercury EP
